Train samples: 45
Valid samples: 10
Train sample x shape: torch.Size([1802, 11])
Train sample edge_index shape: torch.Size([2, 10344])
Train sample edge_attr shape: torch.Size([10344, 3])
Train sample y shape: torch.Size([1802, 2])
Valid sample x shape: torch.Size([1802, 11])
Device: cuda
Epoch 1/5000, Train Loss: 2.075967, Valid Loss: 1.232171, Vel RMSE: 0.017944, Best Valid: 1.232171
Epoch 101/5000, Train Loss: 1.297520, Valid Loss: 0.743365, Vel RMSE: 0.010829, Best Valid: 0.743365
Epoch 201/5000, Train Loss: 0.875145, Valid Loss: 0.549100, Vel RMSE: 0.007950, Best Valid: 0.549100
Epoch 301/5000, Train Loss: 0.736899, Valid Loss: 0.516941, Vel RMSE: 0.007483, Best Valid: 0.485243
Epoch 401/5000, Train Loss: 0.673313, Valid Loss: 0.450327, Vel RMSE: 0.006512, Best Valid: 0.450327
Epoch 501/5000, Train Loss: 0.594941, Valid Loss: 0.422301, Vel RMSE: 0.006105, Best Valid: 0.422301
Epoch 601/5000, Train Loss: 0.564493, Valid Loss: 0.405172, Vel RMSE: 0.005858, Best Valid: 0.405172
Epoch 701/5000, Train Loss: 0.551282, Valid Loss: 0.425465, Vel RMSE: 0.006147, Best Valid: 0.403516
Epoch 801/5000, Train Loss: 0.540852, Valid Loss: 0.382335, Vel RMSE: 0.005529, Best Valid: 0.382335
Epoch 901/5000, Train Loss: 0.522774, Valid Loss: 0.386406, Vel RMSE: 0.005589, Best Valid: 0.382008
Epoch 1001/5000, Train Loss: 0.478791, Valid Loss: 0.379698, Vel RMSE: 0.005490, Best Valid: 0.376983
Epoch 1101/5000, Train Loss: 0.479674, Valid Loss: 0.366978, Vel RMSE: 0.005310, Best Valid: 0.359755
Epoch 1201/5000, Train Loss: 0.501039, Valid Loss: 0.409809, Vel RMSE: 0.005944, Best Valid: 0.356579
Epoch 1301/5000, Train Loss: 0.507847, Valid Loss: 0.430040, Vel RMSE: 0.006205, Best Valid: 0.347558
Epoch 1401/5000, Train Loss: 0.440335, Valid Loss: 0.350194, Vel RMSE: 0.005067, Best Valid: 0.347558
Epoch 1501/5000, Train Loss: 0.422770, Valid Loss: 0.339190, Vel RMSE: 0.004903, Best Valid: 0.339190
Epoch 1601/5000, Train Loss: 0.425512, Valid Loss: 0.339010, Vel RMSE: 0.004903, Best Valid: 0.330279
Epoch 1701/5000, Train Loss: 0.405665, Valid Loss: 0.335614, Vel RMSE: 0.004851, Best Valid: 0.329426
Epoch 1801/5000, Train Loss: 0.397623, Valid Loss: 0.334704, Vel RMSE: 0.004836, Best Valid: 0.316191
Epoch 1901/5000, Train Loss: 0.407527, Valid Loss: 0.334773, Vel RMSE: 0.004841, Best Valid: 0.314723
Epoch 2001/5000, Train Loss: 0.451422, Valid Loss: 0.352121, Vel RMSE: 0.005093, Best Valid: 0.311835
Epoch 2101/5000, Train Loss: 0.376908, Valid Loss: 0.302043, Vel RMSE: 0.004368, Best Valid: 0.302043
